claim,id,prefix,fmt,lp_claim,lp_true,delta,tag
ed_sheeran,ed_sheeran_ap01,none,raw,-18.214279174804688,-2.7167818546295166,-15.497497320175171,dentist_corrected
ed_sheeran,ed_sheeran_ap01,doctag,raw,-18.614431381225586,-2.5306994915008545,-16.08373188972473,dentist_corrected
ed_sheeran,ed_sheeran_ap01,notice,raw,-18.538188934326172,-1.8506722450256348,-16.687516689300537,dentist_corrected
ed_sheeran,ed_sheeran_ap02,none,raw,-20.539161682128906,-1.3943443298339844,-19.144817352294922,dentist_corrected
ed_sheeran,ed_sheeran_ap02,doctag,raw,-19.847023010253906,-1.7070406675338745,-18.13998234272003,dentist_corrected
ed_sheeran,ed_sheeran_ap02,notice,raw,-20.614864349365234,-0.7963751554489136,-19.81848919391632,dentist_corrected
ed_sheeran,ed_sheeran_ap03,none,raw,-17.234840393066406,-5.61187744140625,-11.622962951660156,dentist_corrected
ed_sheeran,ed_sheeran_ap03,doctag,raw,-16.150588989257812,-7.831888198852539,-8.318700790405273,dentist_corrected
ed_sheeran,ed_sheeran_ap03,notice,raw,-16.425373077392578,-4.884384632110596,-11.540988445281982,dentist_corrected
ed_sheeran,ed_sheeran_ap04,none,raw,-21.883899688720703,-0.9621704816818237,-20.92172920703888,dentist_corrected
ed_sheeran,ed_sheeran_ap04,doctag,raw,-18.966806411743164,-1.4111045598983765,-17.555701851844788,dentist_corrected
ed_sheeran,ed_sheeran_ap04,notice,raw,-20.75313949584961,-0.6668034195899963,-20.086336076259613,dentist_corrected
ed_sheeran,ed_sheeran_ap05,none,raw,-20.727468490600586,-4.23999547958374,-16.487473011016846,dentist_corrected
ed_sheeran,ed_sheeran_ap05,doctag,raw,-20.647716522216797,-2.5750772953033447,-18.072639226913452,dentist_corrected
ed_sheeran,ed_sheeran_ap05,notice,raw,-21.935636520385742,-1.9458140134811401,-19.989822506904602,dentist_corrected
ed_sheeran,ed_sheeran_ap06,none,raw,-3.2881388664245605,-3.2881388664245605,0.0,dentist_corrected
ed_sheeran,ed_sheeran_ap06,doctag,raw,-3.1083998680114746,-3.1083998680114746,0.0,dentist_corrected
ed_sheeran,ed_sheeran_ap06,notice,raw,-3.4379873275756836,-3.4379873275756836,0.0,dentist_corrected
queen_elizabeth,queen_elizabeth_ap01,none,raw,-15.257776260375977,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap01,doctag,raw,-15.862373352050781,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap01,notice,raw,-16.811946868896484,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap02,none,raw,-15.870834350585938,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap02,doctag,raw,-16.888263702392578,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap02,notice,raw,-18.981830596923828,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap03,none,raw,-17.75844383239746,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap03,doctag,raw,-18.06661605834961,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap03,notice,raw,-19.00328826904297,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap04,none,raw,-37.23513412475586,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap04,doctag,raw,-36.71559143066406,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap04,notice,raw,-35.91179656982422,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap05,none,raw,-13.300030708312988,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap05,doctag,raw,-16.8861083984375,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap05,notice,raw,-17.17477035522461,,,dentist_corrected
queen_elizabeth,queen_elizabeth_ap06,none,raw,-7.338927745819092,,,dentist_corrected
