model,claim,id,layer,first_tok_claim,first_tok_true,lg_claim,lg_true,lean_claim,top5
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,0,2,1,2.3125,1.890625,0.421875,er | on | ar | 有 | un
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,1,2,1,2.609375,2.859375,-0.25,er | on | 有 | st | ar
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,2,2,1,2.421875,2.21875,0.203125,"er | on | ar |  | | \"""
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,3,2,1,2.578125,1.84375,0.734375,er | on | ar | R | it
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,4,2,1,2.625,3.328125,-0.703125,er | ar | R | c | on
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,5,2,1,1.8671875,2.046875,-0.1796875,er | ar | R | c | b
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,6,2,1,0.87890625,2.046875,-1.16796875,er | 有意义的 | R | st | ite
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,7,2,1,0.55078125,1.6484375,-1.09765625,er | 有意义的 | ime | est | ahr
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,8,2,1,-0.9921875,0.5703125,-1.5625,bidden | ariat | 有意义的 | stw | ение
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,9,2,1,-0.294921875,0.8984375,-1.193359375,bidden | none | arli | šek | stw
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,10,2,1,1.1953125,2.59375,-1.3984375,er | 请填写 | bidden | ar | hammad
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,11,2,1,0.384765625,1.859375,-1.474609375,estival | arli | it | 请填写 | 有意义的
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,12,2,1,-0.1357421875,1.2109375,-1.3466796875,arrer | estival | .fromString | arli | ería
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,13,2,1,0.26953125,1.453125,-1.18359375,iteral | BBBB | arán | agerie | itou
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,14,2,1,0.078125,1.7890625,-1.7109375,� | arán |  sop | 夸 | 填写
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,15,2,1,-1.265625,0.73046875,-1.99609375,� | eger | arrer | /legal | arre
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,16,2,1,-0.58984375,0.66015625,-1.25,腐 | arre | itou | arial | �
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,17,2,1,-0.36328125,0.08935546875,-0.45263671875,arial | ？” |  debat | kaz | arehouse
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,18,2,1,-0.5859375,-0.041748046875,-0.544189453125,腐 | arial | ategic | arán |  debat
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,19,2,1,-1.6640625,-1.3828125,-0.28125,？” | cato |  debat | 年份 | uds
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,20,2,1,-0.546875,0.07421875,-0.62109375,年份 | ？” | rza | ？」 | cato
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,21,2,1,-0.2470703125,0.015869140625,-0.262939453125,immat | 年份 | rza | ？” | abda
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,22,2,1,0.1396484375,0.423828125,-0.2841796875,年份 | immat | cato | ？” | immers
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,23,2,1,0.83203125,1.5390625,-0.70703125,immat | ？” | 年份 | ？」 | immers
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,24,2,1,0.69921875,1.2265625,-0.52734375,年份 | immat | arán | ？」 | krét
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,25,2,1,1.28125,1.7890625,-0.5078125,年份 | � | immers | itatif | immat
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,26,2,1,0.271484375,1.109375,-0.837890625,年份 | 历史的 | smith | useppe | зна
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,27,2,1,-1.15625,-0.212890625,-0.943359375,年份 | smith | зна | kok | immat
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,28,2,1,-0.88671875,-0.60546875,-0.28125,年份 | зна | kok | itchens | ernaut
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,29,2,1,-1.8828125,-1.6328125,-0.25,年份 |  histó | 历史的 | зна | ongyang
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,30,2,1,-1.640625,-0.99609375,-0.64453125,年份 | 哪一个 | ____ | 公元 |  eruption
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,31,2,1,-2.546875,-0.95703125,-1.58984375,哪一个 | ____ | ？” |  eruption | 年份
ed_sheeran_repeated,mount_vesuvius,mount_vesuvius_ap01,32,2,1,-2.28125,-0.5625,-1.71875,____ |  eruption |  ____ |  eru | ？”
