model,claim,group,truth,statement,position,layer,lg_true,lg_false,lean_false,rank_false,rank_fabricated,rank_hoax,rank_fiction,rank_myth,rank_fake,rank_not,rank_never,rank_incorrect,top5
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,0,0.37214338779449463,-0.3944047689437866,-0.7665481567382812,54187,73812,63500,3390,57385,13321,15253,38459,153578,\n | \n\n | ® | au | af
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,0,2.604180335998535,-2.429422616958618,-5.033602952957153,145439,31318,114347,18710,138523,69767,542,58979,205086,\n\n | 以下 | au | a | 一个
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,1,1.432568907737732,0.03830009698867798,-1.394268810749054,44720,70793,34242,2707,80728,8863,53291,17244,167603,\n | \n\n | ering | ® | ik
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,1,4.742875099182129,0.3205623924732208,-4.422312706708908,33345,85551,49676,28127,177959,41278,6175,127692,101637,a | ✅ | au | 你的 | 以下是
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,2,1.1107497215270996,0.10907977819442749,-1.0016699433326721,52688,114514,70003,3146,45157,11831,44941,19503,143846,\n | ____ | ering | \n\n |  class
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,2,4.983846187591553,1.5200176239013672,-3.4638285636901855,5323,113577,82943,7188,93906,8564,1717,67147,68902,★ | ☆ | aut | 以下是 | at
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,3,1.1729758977890015,0.7017260193824768,-0.47124987840652466,56336,159526,41587,1327,11715,4999,150952,50527,107674,ering | ____ | berry | ista | ibility
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,3,4.570897579193115,2.59023118019104,-1.9806663990020752,1766,109570,94461,11239,121423,5698,4160,43605,78527,am | � | a |  math | as
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,4,1.9012818336486816,1.6865384578704834,-0.21474337577819824,24643,96748,10225,143,4216,553,168086,100060,67685, analy | ____ | berry | ik | alex
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,4,3.9996566772460938,2.003499984741211,-1.9961566925048828,4858,203387,150212,38854,172173,87625,5401,36408,111186,ao | ism | ate | 均可 | ats
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,statement_end,5,2.207836627960205,2.6653800010681152,0.45754337310791016,3314,138424,20120,172,4651,227,111446,72100,81265,andidates | ering | avit | � | veloppe
ed_sheeran_repeated,ed_sheeran,claim,0,Ed Sheeran won the 100m gold at the 2024 Olympics.,answer,5,4.233735084533691,2.2561018466949463,-1.9776332378387451,5332,214382,93438,32003,62839,93864,20655,56994,88386,aut |  math | 众所周知 | ao | Advertisement
